,n_225,topix,jasdaq_20
1398,,7186.T,
1399,,7187.T,
1400,,7189.T,
1401,,7190.T,
1402,,7191.T,
1403,,7192.T,
1404,,7196.T,
1405,,7198.T,
1406,,7199.T,
1407,,7201.T,
1408,,7202.T,
1409,,7203.T,
1410,,7205.T,
1411,,7211.T,
1412,,7212.T,
1413,,7213.T,
1414,,7214.T,
1415,,7215.T,
1416,,7220.T,
1417,,7222.T,
1418,,7224.T,
1419,,7226.T,
1420,,7231.T,
1421,,7236.T,
1422,,7238.T,
1423,,7239.T,
1424,,7240.T,
1425,,7241.T,
1426,,7242.T,
1427,,7244.T,
1428,,7245.T,
1429,,7246.T,
1430,,7247.T,
1431,,7250.T,
1432,,7256.T,
1433,,7259.T,
1434,,7261.T,
1435,,7266.T,
1436,,7267.T,
1437,,7269.T,
1438,,7270.T,
1439,,7271.T,
1440,,7272.T,
1441,,7276.T,
1442,,7277.T,
1443,,7278.T,
1444,,7280.T,
1445,,7282.T,
1446,,7283.T,
1447,,7284.T,
1448,,7291.T,
1449,,7294.T,
1450,,7296.T,
1451,,7305.T,
1452,,7309.T,
1453,,7313.T,
1454,,7321.T,
1455,,7322.T,
1456,,7327.T,
1457,,7337.T,
1458,,7354.T,
1459,,7408.T,
1460,,7414.T,
1461,,7416.T,
1462,,7417.T,
1463,,7419.T,
1464,,7420.T,
1465,,7421.T,
1466,,7427.T,
1467,,7433.T,
1468,,7438.T,
1469,,7442.T,
1470,,7445.T,
1471,,7447.T,
1472,,7448.T,
1473,,7451.T,
1474,,7453.T,
1475,,7455.T,
1476,,7456.T,
1477,,7458.T,
1478,,7459.T,
1479,,7463.T,
1480,,7466.T,
1481,,7467.T,
1482,,7475.T,
1483,,7476.T,
1484,,7480.T,
1485,,7481.T,
1486,,7482.T,
1487,,7483.T,
1488,,7487.T,
1489,,7494.T,
1490,,7504.T,
1491,,7506.T,
1492,,7508.T,
1493,,7510.T,
1494,,7512.T,
1495,,7513.T,
1496,,7514.T,
1497,,7516.T,
1498,,7518.T,
1499,,7520.T,
1500,,7522.T,
1501,,7524.T,
1502,,7525.T,
1503,,7527.T,
1504,,7532.T,
1505,,7537.T,
1506,,7545.T,
1507,,7550.T,
1508,,7552.T,
1509,,7554.T,
1510,,7561.T,
1511,,7570.T,
1512,,7575.T,
1513,,7581.T,
1514,,7590.T,
1515,,7593.T,
1516,,7594.T,
1517,,7595.T,
1518,,7596.T,
1519,,7599.T,
1520,,7600.T,
1521,,7601.T,
1522,,7605.T,
1523,,7606.T,
1524,,7607.T,
1525,,7608.T,
1526,,7609.T,
1527,,7611.T,
1528,,7613.T,
1529,,7615.T,
1530,,7616.T,
1531,,7618.T,
1532,,7619.T,
1533,,7628.T,
1534,,7630.T,
1535,,7637.T,
1536,,7640.T,
1537,,7646.T,
1538,,7649.T,
1539,,7673.T,
1540,,7679.T,
1541,,7701.T,
1542,,7702.T,
1543,,7709.T,
1544,,7715.T,
1545,,7717.T,
1546,,7718.T,
1547,,7721.T,
1548,,7723.T,
1549,,7725.T,
1550,,7727.T,
1551,,7729.T,
1552,,7730.T,
1553,,7731.T,
1554,,7732.T,
1555,,7733.T,
1556,,7734.T,
1557,,7735.T,
1558,,7739.T,
1559,,7740.T,
1560,,7741.T,
1561,,7743.T,
1562,,7744.T,
1563,,7745.T,
1564,,7747.T,
1565,,7751.T,
1566,,7752.T,
1567,,7762.T,
1568,,7769.T,
1569,,7775.T,
1570,,7780.T,
1571,,7782.T,
1572,,7811.T,
1573,,7816.T,
1574,,7817.T,
1575,,7818.T,
1576,,7819.T,
1577,,7820.T,
1578,,7821.T,
1579,,7822.T,
1580,,7823.T,
1581,,7832.T,
1582,,7833.T,
1583,,7838.T,
1584,,7839.T,
1585,,7840.T,
1586,,7844.T,
1587,,7846.T,
1588,,7856.T,
1589,,7860.T,
1590,,7862.T,
1591,,7864.T,
1592,,7867.T,
1593,,7868.T,
1594,,7872.T,
1595,,7874.T,
1596,,7885.T,
1597,,7888.T,
1598,,7893.T,
1599,,7897.T,
1600,,7898.T,
1601,,7905.T,
1602,,7908.T,
1603,,7911.T,
1604,,7912.T,
1605,,7914.T,
1606,,7915.T,
1607,,7916.T,
1608,,7917.T,
1609,,7918.T,
1610,,7921.T,
1611,,7925.T,
1612,,7931.T,
1613,,7936.T,
1614,,7937.T,
1615,,7940.T,
1616,,7942.T,
1617,,7943.T,
1618,,7947.T,
1619,,7949.T,
1620,,7951.T,
1621,,7952.T,
1622,,7955.T,
1623,,7956.T,
1624,,7958.T,
1625,,7959.T,
1626,,7961.T,
1627,,7962.T,
1628,,7965.T,
1629,,7966.T,
1630,,7970.T,
1631,,7971.T,
1632,,7972.T,
1633,,7974.T,
1634,,7976.T,
1635,,7979.T,
1636,,7981.T,
1637,,7984.T,
1638,,7987.T,
1639,,7988.T,
1640,,7989.T,
1641,,7990.T,
1642,,7994.T,
1643,,7995.T,
1644,,7999.T,
1645,,8001.T,
1646,,8002.T,
1647,,8005.T,
1648,,8007.T,
1649,,8008.T,
1650,,8011.T,
1651,,8012.T,
1652,,8013.T,
1653,,8014.T,
1654,,8015.T,
1655,,8016.T,
1656,,8018.T,
1657,,8020.T,
1658,,8022.T,
1659,,8025.T,
1660,,8029.T,
1661,,8031.T,
1662,,8032.T,
1663,,8035.T,
1664,,8037.T,
1665,,8038.T,
1666,,8041.T,
1667,,8043.T,
1668,,8050.T,
1669,,8051.T,
1670,,8052.T,
1671,,8053.T,
1672,,8056.T,
1673,,8057.T,
1674,,8058.T,
1675,,8059.T,
1676,,8060.T,
1677,,8061.T,
1678,,8065.T,
1679,,8068.T,
1680,,8070.T,
1681,,8074.T,
1682,,8075.T,
1683,,8077.T,
1684,,8078.T,
1685,,8079.T,
1686,,8081.T,
1687,,8084.T,
1688,,8086.T,
1689,,8087.T,
1690,,8088.T,
1691,,8089.T,
1692,,8090.T,
1693,,8091.T,
1694,,8093.T,
1695,,8095.T,
1696,,8096.T,
1697,,8097.T,
1698,,8098.T,
1699,,8101.T,
1700,,8103.T,
1701,,8104.T,
1702,,8107.T,
1703,,8108.T,
1704,,8111.T,
1705,,8113.T,
1706,,8114.T,
1707,,8118.T,
1708,,8125.T,
1709,,8127.T,
1710,,8129.T,
1711,,8130.T,
1712,,8131.T,
1713,,8132.T,
1714,,8133.T,
1715,,8136.T,
1716,,8137.T,
1717,,8140.T,
1718,,8141.T,
1719,,8142.T,
1720,,8150.T,
1721,,8151.T,
1722,,8153.T,
1723,,8154.T,
1724,,8155.T,
1725,,8157.T,
1726,,8158.T,
1727,,8159.T,
1728,,8160.T,
1729,,8163.T,
1730,,8165.T,
1731,,8166.T,
1732,,8167.T,
1733,,8168.T,
1734,,8173.T,
1735,,8174.T,
1736,,8179.T,
1737,,8181.T,
1738,,8182.T,
1739,,8184.T,
1740,,8185.T,
1741,,8194.T,
1742,,8200.T,
1743,,8203.T,
1744,,8207.T,
1745,,8214.T,
1746,,8217.T,
1747,,8218.T,
1748,,8219.T,
1749,,8227.T,
1750,,8230.T,
1751,,8233.T,
1752,,8237.T,
1753,,8242.T,
1754,,8244.T,
1755,,8252.T,
1756,,8253.T,
1757,,8255.T,
1758,,8260.T,
1759,,8267.T,
1760,,8273.T,
1761,,8275.T,
1762,,8276.T,
1763,,8278.T,
1764,,8279.T,
1765,,8281.T,
1766,,8282.T,
1767,,8283.T,
1768,,8285.T,
1769,,8289.T,
1770,,8291.T,
1771,,8303.T,
1772,,8304.T,
1773,,8306.T,
1774,,8308.T,
1775,,8309.T,
1776,,8316.T,
1777,,8331.T,
1778,,8334.T,
1779,,8336.T,
1780,,8337.T,
1781,,8338.T,
1782,,8341.T,
1783,,8342.T,
1784,,8343.T,
1785,,8344.T,
1786,,8345.T,
1787,,8346.T,
1788,,8349.T,
1789,,8350.T,
1790,,8354.T,
1791,,8355.T,
1792,,8356.T,
1793,,8358.T,
1794,,8359.T,
1795,,8360.T,
1796,,8361.T,
1797,,8362.T,
1798,,8363.T,
1799,,8364.T,
1800,,8365.T,
1801,,8366.T,
1802,,8367.T,
1803,,8368.T,
1804,,8369.T,
1805,,8370.T,
1806,,8377.T,
1807,,8381.T,
1808,,8382.T,
1809,,8383.T,
1810,,8385.T,
1811,,8386.T,
1812,,8387.T,
1813,,8388.T,
1814,,8392.T,
1815,,8393.T,
1816,,8395.T,
1817,,8397.T,
1818,,8399.T,
1819,,8410.T,
1820,,8411.T,
1821,,8416.T,
1822,,8418.T,
1823,,8424.T,
1824,,8425.T,
1825,,8439.T,
1826,,8473.T,
1827,,8511.T,
1828,,8515.T,
1829,,8518.T,
1830,,8521.T,
1831,,8522.T,
1832,,8524.T,
1833,,8527.T,
1834,,8530.T,
1835,,8537.T,
1836,,8541.T,
1837,,8542.T,
1838,,8544.T,
1839,,8550.T,
1840,,8551.T,
1841,,8558.T,
1842,,8562.T,
1843,,8563.T,
1844,,8566.T,
1845,,8570.T,
1846,,8572.T,
1847,,8584.T,
1848,,8585.T,
1849,,8586.T,
1850,,8591.T,
1851,,8593.T,
1852,,8595.T,
1853,,8596.T,
1854,,8600.T,
1855,,8601.T,
1856,,8604.T,
1857,,8609.T,
1858,,8613.T,
1859,,8614.T,
1860,,8616.T,
1861,,8617.T,
1862,,8622.T,
1863,,8624.T,
1864,,8628.T,
1865,,8630.T,
1866,,8697.T,
1867,,8698.T,
1868,,8706.T,
1869,,8707.T,
1870,,8708.T,
1871,,8713.T,
1872,,8714.T,
1873,,8715.T,
1874,,8725.T,
1875,,8732.T,
1876,,8739.T,
1877,,8742.T,
1878,,8750.T,
1879,,8766.T,
1880,,8769.T,
1881,,8771.T,
1882,,8772.T,
1883,,8793.T,
1884,,8795.T,
1885,,8798.T,
1886,,8801.T,
1887,,8802.T,
1888,,8803.T,
1889,,8804.T,
1890,,8806.T,
1891,,8818.T,
1892,,8830.T,
1893,,8835.T,
1894,,8841.T,
1895,,8842.T,
1896,,8848.T,
1897,,8850.T,
1898,,8860.T,
1899,,8864.T,
1900,,8869.T,
1901,,8871.T,
1902,,8876.T,
1903,,8877.T,
1904,,8881.T,
1905,,8892.T,
1906,,8897.T,
1907,,8904.T,
1908,,8905.T,
1909,,8908.T,
1910,,8917.T,
1911,,8918.T,
1912,,8919.T,
1913,,8920.T,
1914,,8923.T,
1915,,8928.T,
1916,,8934.T,
1917,,8935.T,
1918,,8940.T,
1919,,8944.T,
1920,,8945.T,
1921,,8999.T,
1922,,9001.T,
1923,,9003.T,
1924,,9005.T,
1925,,9006.T,
1926,,9007.T,
1927,,9008.T,
1928,,9009.T,
1929,,9010.T,
1930,,9014.T,
1931,,9020.T,
1932,,9021.T,
1933,,9022.T,
1934,,9024.T,
1935,,9025.T,
1936,,9031.T,
1937,,9037.T,
1938,,9039.T,
1939,,9041.T,
1940,,9042.T,
1941,,9044.T,
1942,,9045.T,
1943,,9046.T,
1944,,9048.T,
1945,,9052.T,
1946,,9058.T,
1947,,9062.T,
1948,,9064.T,
1949,,9065.T,
1950,,9066.T,
1951,,9067.T,
1952,,9068.T,
1953,,9069.T,
1954,,9070.T,
1955,,9072.T,
1956,,9074.T,
1957,,9075.T,
1958,,9076.T,
1959,,9078.T,
1960,,9081.T,
1961,,9086.T,
1962,,9090.T,
1963,,9099.T,
1964,,9101.T,
1965,,9104.T,
1966,,9107.T,
1967,,9110.T,
1968,,9115.T,
1969,,9119.T,
1970,,9130.T,
1971,,9142.T,
1972,,9143.T,
1973,,9201.T,
1974,,9202.T,
1975,,9232.T,
1976,,9260.T,
1977,,9262.T,
1978,,9265.T,
1979,,9266.T,
1980,,9267.T,
1981,,9273.T,
1982,,9274.T,
1983,,9275.T,
1984,,9278.T,
1985,,9279.T,
1986,,9301.T,
1987,,9302.T,
1988,,9303.T,
1989,,9304.T,
1990,,9305.T,
1991,,9306.T,
1992,,9308.T,
1993,,9310.T,
1994,,9312.T,
1995,,9319.T,
1996,,9322.T,
1997,,9324.T,
1998,,9325.T,
1999,,9351.T,
2000,,9358.T,
2001,,9364.T,
2002,,9366.T,
2003,,9368.T,
2004,,9369.T,
2005,,9375.T,
2006,,9380.T,
2007,,9381.T,
2008,,9384.T,
2009,,9385.T,
2010,,9386.T,
2011,,9401.T,
2012,,9404.T,
2013,,9405.T,
2014,,9409.T,
2015,,9412.T,
2016,,9413.T,
2017,,9414.T,
2018,,9416.T,
2019,,9417.T,
2020,,9418.T,
2021,,9419.T,
2022,,9422.T,
2023,,9424.T,
2024,,9428.T,
2025,,9432.T,
2026,,9433.T,
2027,,9434.T,
2028,,9435.T,
2029,,9437.T,
2030,,9438.T,
2031,,9449.T,
2032,,9450.T,
2033,,9466.T,
2034,,9468.T,
2035,,9470.T,
2036,,9474.T,
2037,,9475.T,
2038,,9479.T,
2039,,9501.T,
2040,,9502.T,
2041,,9503.T,
2042,,9504.T,
2043,,9505.T,
2044,,9506.T,
2045,,9507.T,
2046,,9508.T,
2047,,9509.T,
2048,,9511.T,
2049,,9513.T,
2050,,9514.T,
2051,,9517.T,
2052,,9519.T,
2053,,9531.T,
2054,,9532.T,
2055,,9533.T,
2056,,9534.T,
2057,,9535.T,
2058,,9536.T,
2059,,9543.T,
2060,,9551.T,
2061,,9600.T,
2062,,9601.T,
2063,,9602.T,
2064,,9603.T,
2065,,9605.T,
2066,,9612.T,
2067,,9613.T,
2068,,9616.T,
2069,,9619.T,
2070,,9621.T,
2071,,9622.T,
2072,,9624.T,
2073,,9627.T,
2074,,9628.T,
2075,,9629.T,
2076,,9632.T,
2077,,9633.T,
2078,,9644.T,
2079,,9658.T,
2080,,9663.T,
2081,,9671.T,
2082,,9672.T,
2083,,9675.T,
2084,,9678.T,
2085,,9681.T,
2086,,9682.T,
2087,,9684.T,
2088,,9692.T,
2089,,9697.T,
2090,,9699.T,
2091,,9702.T,
2092,,9704.T,
2093,,9706.T,
2094,,9715.T,
2095,,9716.T,
2096,,9717.T,
2097,,9719.T,
2098,,9722.T,
2099,,9726.T,
2100,,9728.T,
2101,,9729.T,
2102,,9731.T,
2103,,9735.T,
2104,,9739.T,
2105,,9740.T,
2106,,9742.T,
2107,,9743.T,
2108,,9744.T,
2109,,9746.T,
2110,,9749.T,
2111,,9755.T,
2112,,9757.T,
2113,,9759.T,
2114,,9760.T,
2115,,9763.T,
2116,,9765.T,
2117,,9766.T,
2118,,9768.T,
2119,,9769.T,
2120,,9783.T,
2121,,9787.T,
2122,,9788.T,
2123,,9790.T,
2124,,9793.T,
2125,,9795.T,
2126,,9810.T,
2127,,9824.T,
2128,,9828.T,
2129,,9830.T,
2130,,9831.T,
2131,,9832.T,
2132,,9837.T,
2133,,9842.T,
2134,,9843.T,
2135,,9850.T,
2136,,9854.T,
2137,,9856.T,
2138,,9861.T,
2139,,9869.T,
2140,,9872.T,
2141,,9880.T,
2142,,9882.T,
2143,,9887.T,
2144,,9889.T,
2145,,9896.T,
2146,,9900.T,
2147,,9902.T,
2148,,9919.T,
2149,,9928.T,
2150,,9930.T,
2151,,9932.T,
2152,,9934.T,
2153,,9936.T,
2154,,9945.T,
2155,,9946.T,
2156,,9948.T,
2157,,9956.T,
2158,,9960.T,
2159,,9962.T,
2160,,9966.T,
2161,,9972.T,
2162,,9974.T,
2163,,9979.T,
2164,,9982.T,
2165,,9983.T,
2166,,9984.T,
2167,,9986.T,
2168,,9987.T,
2169,,9989.T,
2170,,9990.T,
2171,,9991.T,
2172,,9993.T,
2173,,9994.T,
2174,,9995.T,
2175,,9997.T,
