n_225,topix,jasdaq_20
,8601.T,
,8604.T,
,8609.T,
,8613.T,
,8614.T,
,8616.T,
,8617.T,
,8622.T,
,8624.T,
,8628.T,
,8630.T,
,8697.T,
,8698.T,
,8706.T,
,8707.T,
,8708.T,
,8713.T,
,8714.T,
,8715.T,
,8725.T,
,8732.T,
,8739.T,
,8742.T,
,8750.T,
,8766.T,
,8769.T,
,8771.T,
,8772.T,
,8793.T,
,8795.T,
,8798.T,
,8801.T,
,8802.T,
,8803.T,
,8804.T,
,8806.T,
,8818.T,
,8830.T,
,8835.T,
,8841.T,
,8842.T,
,8848.T,
,8850.T,
,8860.T,
,8864.T,
,8869.T,
,8871.T,
,8876.T,
,8877.T,
,8881.T,
,8892.T,
,8897.T,
,8904.T,
,8905.T,
,8908.T,
,8917.T,
,8918.T,
,8919.T,
,8920.T,
,8923.T,
,8928.T,
,8934.T,
,8935.T,
,8940.T,
,8944.T,
,8945.T,
,8999.T,
,9001.T,
,9003.T,
,9005.T,
,9006.T,
,9007.T,
,9008.T,
,9009.T,
,9010.T,
,9014.T,
,9020.T,
,9021.T,
,9022.T,
,9024.T,
,9025.T,
,9031.T,
,9037.T,
,9039.T,
,9041.T,
,9042.T,
,9044.T,
,9045.T,
,9046.T,
,9048.T,
,9052.T,
,9058.T,
,9062.T,
,9064.T,
,9065.T,
,9066.T,
,9067.T,
,9068.T,
,9069.T,
,9070.T,
,9072.T,
,9074.T,
,9075.T,
,9076.T,
,9078.T,
,9081.T,
,9086.T,
,9090.T,
,9099.T,
,9101.T,
,9104.T,
,9107.T,
,9110.T,
,9115.T,
,9119.T,
,9130.T,
,9142.T,
,9143.T,
,9201.T,
,9202.T,
,9232.T,
,9260.T,
,9262.T,
,9265.T,
,9266.T,
,9267.T,
,9273.T,
,9274.T,
,9275.T,
,9278.T,
,9279.T,
,9301.T,
,9302.T,
,9303.T,
,9304.T,
,9305.T,
,9306.T,
,9308.T,
,9310.T,
,9312.T,
,9319.T,
,9322.T,
,9324.T,
,9325.T,
,9351.T,
,9358.T,
,9364.T,
,9366.T,
,9368.T,
,9369.T,
,9375.T,
,9380.T,
,9381.T,
,9384.T,
,9385.T,
,9386.T,
,9401.T,
,9404.T,
,9405.T,
,9409.T,
,9412.T,
,9413.T,
,9414.T,
,9416.T,
,9417.T,
,9418.T,
,9419.T,
,9422.T,
,9424.T,
,9428.T,
,9432.T,
,9433.T,
,9434.T,
,9435.T,
,9437.T,
,9438.T,
,9449.T,
,9450.T,
,9466.T,
,9468.T,
,9470.T,
,9474.T,
,9475.T,
,9479.T,
,9501.T,
,9502.T,
,9503.T,
,9504.T,
,9505.T,
,9506.T,
,9507.T,
,9508.T,
,9509.T,
,9511.T,
,9513.T,
,9514.T,
,9517.T,
,9519.T,
,9531.T,
,9532.T,
,9533.T,
,9534.T,
,9535.T,
,9536.T,
,9543.T,
,9551.T,
,9600.T,
,9601.T,
,9602.T,
,9603.T,
,9605.T,
,9612.T,
,9613.T,
,9616.T,
,9619.T,
,9621.T,
,9622.T,
,9624.T,
,9627.T,
,9628.T,
,9629.T,
,9632.T,
,9633.T,
,9644.T,
,9658.T,
,9663.T,
,9671.T,
,9672.T,
,9675.T,
,9678.T,
,9681.T,
,9682.T,
,9684.T,
,9692.T,
,9697.T,
,9699.T,
,9702.T,
,9704.T,
,9706.T,
,9715.T,
,9716.T,
,9717.T,
,9719.T,
,9722.T,
,9726.T,
,9728.T,
,9729.T,
,9731.T,
,9735.T,
,9739.T,
,9740.T,
,9742.T,
,9743.T,
,9744.T,
,9746.T,
,9749.T,
,9755.T,
,9757.T,
,9759.T,
,9760.T,
,9763.T,
,9765.T,
,9766.T,
,9768.T,
,9769.T,
,9783.T,
,9787.T,
,9788.T,
,9790.T,
,9793.T,
,9795.T,
,9810.T,
,9824.T,
,9828.T,
,9830.T,
,9831.T,
,9832.T,
,9837.T,
,9842.T,
,9843.T,
,9850.T,
,9854.T,
,9856.T,
,9861.T,
,9869.T,
,9872.T,
,9880.T,
,9882.T,
,9887.T,
,9889.T,
,9896.T,
,9900.T,
,9902.T,
,9919.T,
,9928.T,
,9930.T,
,9932.T,
,9934.T,
,9936.T,
,9945.T,
,9946.T,
,9948.T,
,9956.T,
,9960.T,
,9962.T,
,9966.T,
,9972.T,
,9974.T,
,9979.T,
,9982.T,
,9983.T,
,9984.T,
,9986.T,
,9987.T,
,9989.T,
,9990.T,
,9991.T,
,9993.T,
,9994.T,
,9995.T,
,9997.T,
